Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Apple,iPhone 16 128GB,174,6,12MP,48MP,MediaTek Helio,3600,6.1 inches,292498,103998,7538,1038,3638,2024
Apple,iPhone 24GB,174,8,12MP,48MP,Snapdragon,4685,7.8 inches,311977,110923,8040,1107,3880,2021
Apple,iPhone 64GB,174,12,12MP,48MP,Qualcomm Snapdragon,4184,7.0 inches,294671,104770,7594,1045,3664,2021
Apple,iPhone 47GB,174,8,12MP,48MP,Qualcomm MSM8916,4899,12.9 inches,300606,106880,7746,1067,3738,2023
Apple,iPhone 9GB,174,6,12MP,48MP,MediaTek,5612,6.5 inches,269773,95917,6952,956,3355,2023
Apple,iPhone 8GB,174,8,12MP,48MP,MediaTek Helio,6152,7.0 inches,306759,109068,7905,1088,3815,2021
Apple,iPhone 54GB,174,6,12MP,48MP,Dimensity,6843,10.4 inches,333703,118648,8599,1184,4150,2024
Apple,iPhone 62GB,174,12,12MP,48MP,Dimensity,7911,12.9 inches,265820,94512,6851,943,3305,2025
Apple,iPhone 37GB,174,8,12MP,48MP,Kirin,5731,10.4 inches,297871,105908,7676,1056,3705,2022
Apple,iPhone 68GB,174,8,12MP,48MP,Dimensity,6255,6.7 inches,312523,111118,8054,1108,3887,2020
Apple,iPhone 49GB,174,4,12MP,48MP,Qualcomm Snapdragon,4243,10.4 inches,273154,97120,7039,969,3396,2024
Apple,iPhone 37GB,174,16,12MP,48MP,Kirin,3301,7.8 inches,334647,118983,8624,1188,4162,2022
Apple,iPhone 67GB,174,6,12MP,48MP,Apple A17,7014,10.4 inches,270926,96328,6982,962,3369,2021
Apple,iPhone 17GB,174,4,12MP,48MP,Snapdragon,7341,12.9 inches,274641,97649,7077,975,3416,2024
Apple,iPhone 25GB,174,16,12MP,48MP,MediaTek Helio,5950,6.1 inches,318672,113304,8212,1131,3963,2023
Apple,iPhone 51GB,174,4,12MP,48MP,Kirin,6769,12.9 inches,273767,97338,7055,971,3404,2025
Apple,iPhone 49GB,174,12,12MP,48MP,Unisoc,7777,10.4 inches,295752,105154,7621,1049,3679,2025
Apple,iPhone 48GB,174,4,12MP,48MP,MediaTek Helio,7583,7.8 inches,304631,108312,7850,1081,3789,2024
Apple,iPhone 69GB,174,12,12MP,48MP,MediaTek,5959,6.5 inches,291762,103736,7519,1034,3628,2021
Apple,iPhone 95GB,174,6,12MP,48MP,MediaTek,6730,6.5 inches,295952,105227,7627,1050,3681,2020
Apple,iPhone 2GB,174,16,12MP,48MP,MediaTek Helio,5546,6.5 inches,278155,98898,7168,986,3459,2022
