Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Apple,iPhone 16 128GB,174,6,12MP,48MP,MediaTek Helio,3600,6.1 inches,224999,79999,5799,799,2799,2024
Samsung,Galaxy S24 Ultra 128GB,234,12,12MP,200MP + 12MP,Qualcomm MSM8916,5000,6.8 inches,450000,104900,7499,1199,4899,2024
Infinix,Pad Air 128GB,510,6,8MP,13MP,Snapdragon,8040,10.4 inches,58999,31999,2199,279,999,2023
Lenovo,Find N3 512GB,239,12,32MP,48MP + 64MP + 48MP,Google Tensor,4805,7.82 inches,299999,159999,9999,1399,5199,2023
Samsung,Galaxy 72GB,234,16,12MP,200MP + 12MP,Exynos,6092,12.9 inches,403559,94074,6725,1075,4393,2021
Apple,iPhone 24GB,174,8,12MP,48MP,Snapdragon,4685,7.8 inches,239983,85326,6185,852,2985,2021
Apple,iPhone 64GB,174,12,12MP,48MP,Qualcomm Snapdragon,4184,7.0 inches,226670,80593,5842,804,2819,2021
Samsung,Galaxy 91GB,234,8,12MP,200MP + 12MP,Google Tensor,5558,6.5 inches,513956,119809,8564,1369,5595,2023
Apple,iPhone 47GB,174,8,12MP,48MP,Qualcomm MSM8916,4899,12.9 inches,231236,82216,5959,821,2876,2023
Samsung,Galaxy 7GB,234,16,12MP,200MP + 12MP,Snapdragon,5888,12.9 inches,510599,119026,8508,1360,5558,2021
Apple,iPhone 9GB,174,6,12MP,48MP,MediaTek,5612,6.5 inches,207518,73783,5348,736,2581,2023
Apple,iPhone 8GB,174,8,12MP,48MP,MediaTek Helio,6152,7.0 inches,235969,83899,6081,837,2935,2021
Apple,iPhone 54GB,174,6,12MP,48MP,Dimensity,6843,10.4 inches,256695,91268,6615,911,3193,2024
Apple,iPhone 62GB,174,12,12MP,48MP,Dimensity,7911,12.9 inches,204477,72702,5270,726,2543,2025
Motorola,Find 85GB,239,16,32MP,48MP + 64MP + 48MP,Google Tensor,3337,12.9 inches,307806,164163,10259,1435,5334,2024
Samsung,Galaxy 29GB,234,16,12MP,200MP + 12MP,Google Tensor,3064,6.1 inches,486753,113467,8111,1296,5299,2020
Samsung,Galaxy 81GB,234,8,12MP,200MP + 12MP,MediaTek Dimensity,7514,6.1 inches,392496,91495,6540,1045,4272,2022
Honor,Find 28GB,239,4,32MP,48MP + 64MP + 48MP,Google Tensor,7875,6.5 inches,260719,139049,8689,1215,4518,2020
Apple,iPhone 37GB,174,8,12MP,48MP,Kirin,5731,10.4 inches,229132,81468,5905,813,2850,2022
Samsung,Galaxy 78GB,234,8,12MP,200MP + 12MP,Apple A11,6840,7.8 inches,414357,96591,6905,1104,4510,2021
