Company Name,Model Name,Mobile Weight,RAM,Front Camera,Back Camera,Processor,Battery Capacity,Screen Size,Launched Price (Pakistan),Launched Price (India),Launched Price (China),Launched Price (USA),Launched Price (Dubai),Launched Year
Samsung,Galaxy S24 Ultra 128GB,234,12,12MP,200MP + 12MP,Qualcomm MSM8916,5000,6.8 inches,103847,24208,1731,277,1131,2024
Infinix,Pad Air 128GB,510,6,8MP,13MP,Snapdragon,8040,10.4 inches,13616,7385,508,65,231,2023
Lenovo,Find N3 512GB,239,12,32MP,48MP + 64MP + 48MP,Google Tensor,4805,7.82 inches,69231,36924,2308,324,1200,2023
Samsung,Galaxy 72GB,234,16,12MP,200MP + 12MP,Exynos,6092,12.9 inches,93129,21710,1553,249,1014,2021
Samsung,Galaxy 91GB,234,8,12MP,200MP + 12MP,Google Tensor,5558,6.5 inches,118606,27649,1977,317,1292,2023
Samsung,Galaxy 7GB,234,16,12MP,200MP + 12MP,Snapdragon,5888,12.9 inches,117831,27468,1964,315,1283,2021
Motorola,Find 85GB,239,16,32MP,48MP + 64MP + 48MP,Google Tensor,3337,12.9 inches,71033,37884,2368,332,1232,2024
Samsung,Galaxy 29GB,234,16,12MP,200MP + 12MP,Google Tensor,3064,6.1 inches,112328,26185,1872,300,1224,2020
Samsung,Galaxy 81GB,234,8,12MP,200MP + 12MP,MediaTek Dimensity,7514,6.1 inches,90576,21115,1510,242,987,2022
Honor,Find 28GB,239,4,32MP,48MP + 64MP + 48MP,Google Tensor,7875,6.5 inches,60167,32089,2006,281,1043,2020
Samsung,Galaxy 78GB,234,8,12MP,200MP + 12MP,Apple A11,6840,7.8 inches,95622,22291,1594,255,1041,2021
iQOO,Find 9GB,239,6,32MP,48MP + 64MP + 48MP,Qualcomm Snapdragon,4484,6.7 inches,65376,34867,2180,306,1134,2020
Sony,Pad 23GB,510,16,8MP,13MP,Snapdragon,4678,6.7 inches,12508,6784,467,60,212,2024
Samsung,Galaxy 86GB,234,12,12MP,200MP + 12MP,Qualcomm Snapdragon,5625,6.5 inches,97480,22724,1625,260,1062,2024
Honor,Find 28GB,239,12,32MP,48MP + 64MP + 48MP,Exynos,6627,7.0 inches,77192,41169,2573,360,1338,2025
POCO,Pad 92GB,510,4,8MP,13MP,Unisoc,6302,10.4 inches,12685,6880,473,60,215,2020
Lenovo,Find 77GB,239,4,32MP,48MP + 64MP + 48MP,Google Tensor,4282,12.9 inches,69454,37042,2316,324,1204,2025
Xiaomi,Pad 97GB,510,8,8MP,13MP,Google Tensor,7779,12.9 inches,12894,6993,481,62,219,2022
OnePlus,Pad 62GB,510,4,8MP,13MP,MediaTek,7659,7.0 inches,14418,7820,538,69,245,2025
Samsung,Galaxy 56GB,234,4,12MP,200MP + 12MP,Dimensity,3698,6.1 inches,103930,24228,1733,277,1132,2021
Nokia,Find 96GB,239,4,32MP,48MP + 64MP + 48MP,Dimensity,6474,10.4 inches,69873,37266,2329,326,1212,2021
iQOO,Pad 98GB,510,8,8MP,13MP,Google Tensor,6582,6.1 inches,12884,6988,480,61,219,2020
Huawei,Find 20GB,239,12,32MP,48MP + 64MP + 48MP,Unisoc,4369,6.7 inches,66088,35247,2203,309,1146,2022
Samsung,Galaxy 40GB,234,6,12MP,200MP + 12MP,Snapdragon,5919,6.1 inches,98895,23054,1649,264,1077,2022
Sony,Pad 31GB,510,6,8MP,13MP,Google Tensor,3262,7.0 inches,15585,8453,582,74,264,2021
POCO,Pad 1GB,510,12,8MP,13MP,Snapdragon,7548,7.8 inches,12344,6695,461,59,210,2022
Samsung,Galaxy 48GB,234,8,12MP,200MP + 12MP,MediaTek,7499,10.4 inches,108272,25239,1805,289,1179,2020
Samsung,Find 36GB,239,12,32MP,48MP + 64MP + 48MP,Kirin,3253,6.7 inches,78372,41799,2613,366,1359,2025
Infinix,Pad 82GB,510,6,8MP,13MP,Kirin,5869,6.7 inches,12489,6774,466,60,212,2024
Samsung,Pad 21GB,510,12,8MP,13MP,Dimensity,4527,12.9 inches,14259,7734,532,68,242,2022
Samsung,Galaxy 86GB,234,16,12MP,200MP + 12MP,Snapdragon,3562,10.4 inches,101803,23732,1697,272,1109,2022
Oppo,Pad 28GB,510,4,8MP,13MP,Snapdragon,7548,7.0 inches,13612,7383,508,65,231,2024
Samsung,Galaxy 85GB,234,4,12MP,200MP + 12MP,Google Tensor,6327,6.7 inches,105616,24621,1761,282,1150,2021
iQOO,Find 14GB,239,12,32MP,48MP + 64MP + 48MP,Spreadtrum,4166,7.0 inches,60798,32426,2027,284,1054,2021
Xiaomi,Pad 53GB,510,12,8MP,13MP,Spreadtrum,6051,7.0 inches,13441,7290,501,64,228,2024
Google,Pad 94GB,510,8,8MP,13MP,Snapdragon,7364,6.5 inches,14492,7860,540,69,246,2023
iQOO,Find 63GB,239,8,32MP,48MP + 64MP + 48MP,Kirin,6675,6.5 inches,59373,31665,1980,277,1029,2021
OnePlus,Pad 9GB,510,12,8MP,13MP,MediaTek Dimensity,4012,6.1 inches,15312,8304,571,73,260,2021
Oppo,Find 63GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,5294,6.7 inches,70602,37655,2354,330,1224,2023
iQOO,Find 57GB,239,16,32MP,48MP + 64MP + 48MP,MediaTek,7045,7.0 inches,60802,32428,2027,284,1054,2024
Google,Find 94GB,239,16,32MP,48MP + 64MP + 48MP,Google Tensor,5070,6.5 inches,78559,41898,2619,367,1362,2021
Oppo,Find 92GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,3851,7.0 inches,70755,37736,2359,330,1227,2021
Samsung,Galaxy 51GB,234,8,12MP,200MP + 12MP,Google Tensor,6913,6.7 inches,96804,22566,1614,258,1054,2023
POCO,Pad 74GB,510,6,8MP,13MP,MediaTek,6069,6.5 inches,12725,6902,475,60,216,2022
Motorola,Pad 75GB,510,16,8MP,13MP,MediaTek Dimensity,3728,7.8 inches,12726,6902,475,60,216,2024
Motorola,Find 24GB,239,8,32MP,48MP + 64MP + 48MP,Dimensity,4122,7.0 inches,64039,34154,2135,299,1110,2021
OnePlus,Find 17GB,239,4,32MP,48MP + 64MP + 48MP,MediaTek Helio,3595,6.1 inches,65028,34682,2168,304,1128,2025
Huawei,Find 12GB,239,16,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,7171,6.1 inches,78579,41909,2619,367,1362,2023
Realme,Find 53GB,239,4,32MP,48MP + 64MP + 48MP,Qualcomm MSM8916,4062,7.8 inches,69115,36861,2304,323,1198,2024
Lenovo,Find 5GB,239,8,32MP,48MP + 64MP + 48MP,Snapdragon,3732,6.7 inches,61278,32682,2043,286,1062,2022
Vivo,Pad 58GB,510,12,8MP,13MP,Dimensity,6324,10.4 inches,14436,7830,539,69,245,2025
Samsung,Galaxy 86GB,234,12,12MP,200MP + 12MP,Spreadtrum,4680,12.9 inches,106709,24876,1779,285,1162,2020
Samsung,Galaxy 39GB,234,4,12MP,200MP + 12MP,MediaTek Helio,4996,7.0 inches,100738,23484,1679,269,1097,2025
